                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     19,                 3.5573,                 4.4536,                 3.8813,                0.00073,                0.24535,                0.00127,                 0.0005,                 3.5331,                 5.1781,                 4.3493,              0.0044313,              0.0044313,              0.0044313
                     20,                 3.4296,                 4.4401,                 3.8688,                0.00094,                0.41355,                0.00237,                0.00079,                 3.5575,                 5.2328,                 4.3874,              0.0041219,              0.0041219,              0.0041219
                     21,                 3.3466,                 4.4342,                 3.8448,                0.00098,                0.13322,                0.00097,                 0.0003,                 3.3803,                 5.1001,                 3.9866,              0.0038125,              0.0038125,              0.0038125
                     22,                 3.3922,                  4.461,                  3.848,                0.00132,                0.27777,                0.00243,                0.00042,                 3.3837,                 5.2275,                 3.9127,              0.0035031,              0.0035031,              0.0035031
                     23,                 3.4305,                 4.4131,                 3.8017,                0.00119,                0.13901,                0.00194,                0.00054,                 3.3344,                 4.9699,                 3.7873,              0.0031938,              0.0031938,              0.0031938
                     24,                 3.4324,                  4.392,                 3.8066,                0.00113,                0.13313,                 0.0029,                0.00071,                 3.3204,                 4.9547,                 3.7755,              0.0028844,              0.0028844,              0.0028844
                     25,                 3.4133,                 4.3849,                 3.7831,                0.00057,                 0.1271,                0.00184,                0.00048,                  3.369,                 4.9367,                  3.796,               0.002575,               0.002575,               0.002575
                     26,                 3.4241,                 4.4033,                 3.7697,                0.00113,                0.17538,                0.00154,                0.00048,                 3.3891,                 4.9981,                 3.8763,              0.0022656,              0.0022656,              0.0022656
                     27,                 3.3465,                  4.512,                 3.7826,                0.00102,                0.17128,                0.00158,                0.00048,                  3.384,                 4.9738,                 3.8322,              0.0019563,              0.0019563,              0.0019563
                     28,                 3.2598,                 4.3647,                 3.7534,                0.00061,                0.13861,                0.00128,                0.00034,                 3.3891,                 4.9878,                 3.8098,              0.0016469,              0.0016469,              0.0016469
                     29,                 3.2911,                 4.3935,                 3.7586,                0.00066,                0.13853,                0.00121,                0.00033,                 3.3787,                  4.992,                 3.7877,              0.0013375,              0.0013375,              0.0013375
                     30,                 3.3034,                 4.3921,                 3.7549,                0.00075,                0.14432,                0.00147,                0.00036,                 3.3681,                 4.9627,                 3.7643,              0.0010281,              0.0010281,              0.0010281
                     31,                 3.2884,                 4.3287,                 3.7302,                 0.0008,                0.15012,                0.00145,                0.00037,                 3.3615,                 4.9504,                 3.7561,             0.00071875,             0.00071875,             0.00071875
