                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  3.634,                 5.0301,                 4.2046,                0.00066,                0.11246,                0.00107,                0.00036,                 3.4961,                  5.222,                 4.1505,                 0.0937,                 0.0007,                 0.0007
                      1,                 3.3716,                 4.8502,                 4.2138,                0.00071,                0.25532,                0.00108,                0.00035,                 3.4932,                 5.1774,                 4.1383,               0.086454,              0.0014536,              0.0014536
                      2,                 3.5256,                 4.7818,                 4.1761,                0.00069,                0.24744,                0.00118,                0.00037,                  3.491,                 5.1507,                  4.131,               0.079158,              0.0021577,              0.0021577
                      3,                 3.4714,                 4.7701,                 4.1384,                0.00068,                0.11053,                0.00072,                0.00022,                 3.4866,                  5.132,                  4.122,               0.071812,              0.0028123,              0.0028123
                      4,                 3.5629,                 4.7263,                 4.1368,                0.00066,                0.11053,                0.00073,                0.00023,                 3.4841,                 5.1167,                 4.1119,               0.064417,              0.0034174,              0.0034174
                      5,                 3.5713,                 4.6905,                  4.112,                0.00066,                 0.1086,                0.00068,                0.00022,                 3.4823,                 5.1072,                 4.1023,               0.056973,               0.003973,               0.003973
                      6,                 3.5326,                 4.6486,                 4.0899,                0.00093,                0.12405,                 0.0013,                0.00039,                 3.4791,                 5.1018,                 4.0934,               0.049479,              0.0044791,              0.0044791
                      7,                 3.4705,                 4.6276,                 4.0703,                0.00083,                0.14737,                0.00113,                0.00032,                 3.4738,                 5.1001,                 4.0807,               0.041936,              0.0049357,              0.0049357
                      8,                 3.5449,                 4.6356,                 4.0755,                0.00079,                0.13949,                0.00113,                0.00033,                 3.4685,                 5.0957,                 4.0657,               0.034343,              0.0053428,              0.0053428
                      9,                 3.6379,                 4.6529,                 4.0597,                0.00032,                0.11663,                0.00097,                0.00028,                 3.4661,                 5.0964,                 4.0554,                 0.0267,              0.0057003,              0.0057003
                     10,                 3.4397,                 4.5696,                 4.0256,                0.00018,                0.09073,                0.00077,                0.00023,                 3.4604,                 5.1028,                 4.0371,               0.019008,              0.0060084,              0.0060084
                     11,                 3.5618,                 4.5175,                  4.025,                0.00018,                 0.0888,                0.00085,                0.00024,                 3.4547,                 5.1102,                 4.0247,               0.011267,               0.006267,               0.006267
                     12,                 3.4791,                 4.5308,                 3.9987,                0.00018,                 0.0888,                0.00085,                0.00025,                 3.4489,                 5.1196,                 4.0118,              0.0062875,              0.0062875,              0.0062875
                     13,                 3.4236,                 4.5624,                 4.0067,                0.00018,                0.08687,                0.00094,                0.00026,                  3.445,                 5.1141,                  4.003,              0.0062875,              0.0062875,              0.0062875
                     14,                 3.5402,                 4.5016,                 3.9839,                0.00018,                 0.0888,                0.00115,                0.00028,                 3.4403,                 5.1082,                 3.9933,              0.0059781,              0.0059781,              0.0059781
                     15,                 3.6432,                 4.5288,                 3.9729,                0.00018,                0.08687,                0.00154,                 0.0004,                 3.4369,                 5.0915,                 3.9857,              0.0056688,              0.0056688,              0.0056688
                     16,                 3.5507,                 4.5325,                 3.9573,                0.00019,                0.09266,                0.00099,                0.00028,                 3.4365,                 5.0675,                 3.9757,              0.0053594,              0.0053594,              0.0053594
                     17,                 3.5171,                 4.3957,                 3.9084,                0.00035,                0.09073,                0.00106,                0.00033,                 3.4164,                 5.0598,                 3.9194,                0.00505,                0.00505,                0.00505
                     18,                 3.4064,                  4.548,                 3.8984,                0.00115,                0.12975,                 0.0016,                0.00036,                 3.3858,                 4.9878,                 3.8871,              0.0047406,              0.0047406,              0.0047406
