                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7102,                 5.8195,                  4.281,                0.00071,                0.35294,                0.00085,                0.00029,                 4.3541,                 44.911,                 4.1517,                 0.0937,                 0.0007,                 0.0007
                      1,                 3.6271,                 4.8561,                 4.2934,                0.00076,                0.36765,                0.00108,                0.00033,                 4.3337,                 33.611,                 4.1406,               0.086454,              0.0014536,              0.0014536
                      2,                 3.6326,                 4.5799,                 4.2898,                 0.0008,                0.38235,                0.00108,                0.00035,                 4.3156,                 28.824,                 4.1316,               0.079158,              0.0021577,              0.0021577
                      3,                 3.7354,                 4.6874,                 4.2445,                0.00078,                0.36765,                0.00113,                0.00038,                  4.301,                 26.161,                 4.1239,               0.071812,              0.0028123,              0.0028123
                      4,                 3.6703,                 4.9535,                 4.2396,                0.00074,                0.35294,                0.00101,                0.00039,                 4.2873,                 23.354,                 4.1167,               0.064417,              0.0034174,              0.0034174
                      5,                 3.4919,                 4.3021,                 4.2515,                0.00078,                0.36765,                0.00108,                0.00039,                 4.2756,                 21.614,                 4.1105,               0.056973,               0.003973,               0.003973
                      6,                 3.6322,                 4.3542,                 4.2226,                0.00132,                0.13235,                0.00125,                 0.0005,                 4.2696,                 20.675,                 4.1063,               0.049479,              0.0044791,              0.0044791
                      7,                   3.45,                 4.4061,                 4.1616,                0.00145,                0.14706,                0.00213,                0.00066,                   4.26,                 19.999,                 4.1002,               0.041936,              0.0049357,              0.0049357
